,id,name,review_count,rating,phone,display_phone,price,coord_lat,coord_long,is_bakeries,is_desserts,is_icecream,is_cafe,is_donuts,is_cakeshop,is_bubbletea,is_chocolate,is_cupcakes,is_Other,rand_imp_price,knn_imp_price,is_successful,County
1185,OGO_ykdC27Fc-Q3Yhwjo4w,Ground Central,4.875197323201151,20.25,1,1,1.0,40.75014,-73.97176,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1,Manhattan
1186,LzxMKnP0Zf5XoRC1VInCZg,Sweet Churros,6.326149473155099,16.0,1,1,1.0,40.747737,-73.986212,0,1,1,0,0,0,0,0,0,0,1.0,1.0,1,Manhattan
1188,E-zoS-f4TCTl2V2kx-n01w,Baruir's Coffee,4.553876891600541,20.25,1,1,1.0,40.7439885639833,-73.9240009966681,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1,Queens
1190,gUJ6pHYd_fp2Ypq377P_vA,Williamsburg Smorgasburg - Saturday,7.051855622955894,20.25,1,1,2.0,40.721021,-73.962177,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1,Brooklyn
1195,C-8mGN7lt5rIraO5n-15ug,The Smith,8.049427057110695,16.0,1,1,3.0,40.755165,-73.967868,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1,Manhattan
1199,64yrGc7EDNd09ZmhUrizCw,Birch Coffee,5.616771097666572,16.0,1,1,2.0,40.7638444066087,-73.9665842526398,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
1200,7gbWC5D0y0ZTUF-WDLwuYw,Bluestone Lane Upper East Side Café,6.517671272912275,16.0,1,1,2.0,40.7837603758071,-73.9585503779793,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
1201,TuRPkrvAut11wfz1N3Sm7Q,"Levain Bakery - Upper West Side, NYC",6.577861357721047,20.25,1,1,2.0,40.781532,-73.979286,1,1,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
1202,neqjsm1AbaGcLDRNshEA7A,Gregorys Coffee,4.442651256490317,16.0,1,1,2.0,40.693613,-73.990789,1,1,0,0,0,0,0,0,0,0,2.0,2.0,1,Brooklyn
1207,bBDzXNM7Y7_8WE2Sm6R_ig,Gotham West Market,6.338594078203183,16.0,1,1,2.0,40.7624395,-73.9971462,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1,Manhattan
1209,QaDOWy4-11982JWIxpImNQ,Little Choc Apothecary,6.309918278226516,20.25,1,1,2.0,40.71192,-73.95721,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1,Brooklyn
1210,_cU5kRVpsRjeHPO5Kz736Q,Diesel and Duke,5.44673737166631,20.25,1,1,1.0,40.72285,-74.04942,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1,New Jersey
1212,TF_pSzZv3wVLIGArUERkbw,Pennylane Coffee,5.062595033026967,16.0,1,1,2.0,40.7516197786922,-73.97014094314294,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
1213,4aF0F8w7yXX9o5_QFky_ig,Celestine,5.676753802268282,16.0,1,1,3.0,40.704676,-73.987975,0,0,0,0,0,0,0,0,0,1,3.0,3.0,1,Brooklyn
1215,TL5bG4t5cw6NRp5UvI0dPw,Cream Coffee & Tea Shop,5.267858159063328,20.25,1,1,2.0,40.6332643,-74.0272763,1,0,0,0,0,0,1,0,0,0,2.0,2.0,1,Brooklyn
1216,-tLtiP-bsd9OznXJKlLX9A,City Acres Market,4.955827057601261,16.0,1,1,3.0,40.7062610487484,-74.0077295435263,0,0,0,0,0,0,0,0,0,1,3.0,3.0,1,Manhattan
1217,YnU0iNHkOZ1FgDGGNzJ5-Q,Tin Cup Cafe,4.68213122712422,20.25,1,1,2.0,40.6613718,-73.9969453,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Brooklyn
1222,Hlj1BRYzB2xJxl8_UEnrDw,CONES - Artisanal Ice Cream,6.456769655572163,16.0,1,1,2.0,40.7315227,-74.0032698,0,0,1,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
1224,xs6umHYXU6S5oGEFY_VNsQ,Bean & Bean Coffee Roasters,5.318119993844216,16.0,1,1,2.0,40.7073064192213,-74.0122090517805,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
1227,XSD40vlGKk7ehR9eKgfapQ,Snapdragon Coffee & Social,4.770684624465665,20.25,1,1,1.0,40.72112,-74.06999,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1,New Jersey
1228,6hKJePanmG9AxK4dfwgyyg,The Horny Ram,6.588926477533519,16.0,1,1,2.0,40.75528,-73.96857,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1,Manhattan
1229,0ywipQa5m1CD_wJFMUTRCA,Le French Tart,5.135798437050262,16.0,1,1,1.0,40.664735,-73.98975,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1,Brooklyn
1230,TAaRBwJw2fMXaQ_2mO-0Mg,Matto Espresso,4.584967478670572,16.0,1,1,1.0,40.76548584456767,-73.95818410375075,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1,Manhattan
1232,-JvJHpqzgX-nHD53myR01g,Café Grumpy,5.54907608489522,16.0,1,1,2.0,40.7541886,-73.9887429,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
1233,-8nEZ20KDfr4PPH47MrAOA,La Colombe SOHO,6.559615237493242,20.25,1,1,2.0,40.72396,-73.99643,0,0,0,1,0,0,0,0,0,0,2.0,2.0,1,Manhattan
1234,MFB3OOo5ZQxfCAYEDa8ZFA,Gasoline Alley Coffee,5.627621113690637,16.0,1,1,2.0,40.725419,-73.994874,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
1237,okwe_8q4jBmqECTnpq19VA,Crema,4.663439094112067,25.0,1,1,2.0,40.7238920057973,-74.0703685447746,0,0,1,0,0,0,0,0,0,0,2.0,2.0,1,New Jersey
1238,ntkrxOSYT5VtTL4Z5jmmeA,Ground Central,6.55250788703459,16.0,1,1,1.0,40.757575,-73.970321,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1,Manhattan
1242,jL0kE1pdABL7ZaUffCp3ug,Black Swan Espresso,5.003946305945459,20.25,1,1,2.0,40.73948,-74.17241,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1,New Jersey
1243,cLxp5gIPWIhmvpmdPo7BsA,969 NYC Coffee,5.940171252720432,20.25,1,1,1.0,40.74779,-73.88553,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1,Queens
1245,NMVRHrkdp68twl4CWo1I5A,Marseille,7.047517221357296,16.0,1,1,3.0,40.7597589,-73.99142128424079,0,0,0,0,0,0,0,0,0,1,3.0,3.0,1,Manhattan
1246,TvO9E0Eh2JmqfxAjilo8FQ,Joe Coffee Company,5.902633333401366,16.0,1,1,1.0,40.7332972,-74.0005659,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1,Manhattan
